asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
明廉國小,W3-shelter,花蓮縣花蓮市,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
自強國中,W3-shelter,花蓮縣花蓮市,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
大漢社區活動中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
復興南營區,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
順安農宅示範中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
禪光育幼院,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
天主教聲遠之家,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
新城社區活動中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
興田社區活動中心,W3-shelter,花蓮縣新城鄉,low,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
和平國小,W3-shelter,花蓮縣秀林鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
豐南社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
玉寶宮,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
永豐社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
富里老人文康中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
石平社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
富里鄉公所2樓,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
石牌社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
明里社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
羅山縱管處,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
古風國小,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
崙天社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
長良社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
清水社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
吳江社區活動中心,W3-shelter,花蓮縣富里鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
卓樂社區活動中心,W3-shelter,花蓮縣卓溪鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
樂合社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
源城社區活動中心,W3-shelter,花蓮縣玉里鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
